UA;SU;SUBP1;SUBP2;SUBP3;SUBP4;SUBP5;SUBP6;SUBP7;SUBP8;SUBP9;SUBP10;CONT_TOCO;FLORESTA;ARVORES;NATURAL;AGRICULTURA;OUTRAS
ES_57;2;55;55;19;19;19;19;19;19;19;19;0;0.8;0.0;0.0;0.0;0.2
ES_57;3;42;42;42;42;42;42;42;42;42;42;0;0.0;0.0;0.0;1.0;0.0
ES_57;4;42;42;42;42;42;42;42;42;42;42;0;0.0;0.0;0.0;1.0;0.0
ES_58;1;42;42;42;42;42;42;42;42;42;42;0;0.0;0.0;0.0;1.0;0.0
ES_58;2;42;42;42;42;42;42;42;42;42;42;0;0.0;0.0;0.0;1.0;0.0
ES_58;3;42;42;42;42;42;42;42;42;42;42;0;0.0;0.0;0.0;1.0;0.0
ES_58;4;112;112;112;112;112;112;112;112;112;112;0;1.0;0.0;0.0;0.0;0.0
ES_59;2;19;19;19;19;19;19;19;19;19;19;0;1.0;0.0;0.0;0.0;0.0
ES_59;3;19;19;19;19;45;45;45;45;45;45;0;0.4;0.0;0.0;0.6;0.0
ES_59;4;113;45;45;113;113;45;45;113;113;45;0;0.5;0.0;0.0;0.5;0.0
ES_6;1;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_6;2;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_6;3;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_6;4;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_60;1;113;113;113;113;113;113;112;113;112;112;0;1.0;0.0;0.0;0.0;0.0
ES_60;2;113;113;113;113;113;113;113;113;112;112;2;1.0;0.0;0.0;0.0;0.0
ES_60;3;112;112;112;112;112;112;112;112;112;112;0;1.0;0.0;0.0;0.0;0.0
ES_60;4;112;112;113;113;113;112;113;113;113;113;0;1.0;0.0;0.0;0.0;0.0
ES_62;1;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_62;2;113;113;113;113;113;113;45;113;45;45;0;0.7;0.0;0.0;0.3;0.0
ES_62;3;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_62;4;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_63;1;113;113;113;113;113;113;113;113;113;113;0;1.0;0.0;0.0;0.0;0.0
ES_63;2;112;112;112;112;112;112;45;45;45;45;0;0.6;0.0;0.0;0.4;0.0
ES_63;3;57;57;57;57;57;57;57;57;57;57;0;0.0;0.0;0.0;0.0;1.0
ES_64;1;45;45;45;45;45;45;58;58;58;58;0;0.0;0.0;0.0;0.6;0.4
